Date,Price,Open,High,Low,Change %
4/30/2019,1.1217,1.1185,1.1232,1.1176,0.28%
4/29/2019,1.1186,1.1153,1.1191,1.114,0.33%
4/26/2019,1.1149,1.113,1.1175,1.1111,0.15%
4/25/2019,1.1132,1.116,1.1164,1.1118,-0.20%
4/24/2019,1.1154,1.1229,1.1233,1.1141,-0.65%
4/23/2019,1.1227,1.1259,1.1264,1.1192,-0.28%
4/22/2019,1.1258,1.1246,1.1265,1.1237,0.09%
4/19/2019,1.1248,1.124,1.1255,1.1229,0.15%
4/18/2019,1.1231,1.1297,1.1307,1.1226,-0.58%
4/17/2019,1.1297,1.1282,1.1326,1.128,0.14%
4/16/2019,1.1281,1.1304,1.1315,1.1279,-0.25%
4/15/2019,1.1309,1.13,1.1323,1.1296,0.06%
4/12/2019,1.1302,1.1255,1.1327,1.1253,0.44%
4/11/2019,1.1253,1.1274,1.1293,1.1249,-0.19%
4/10/2019,1.1274,1.1261,1.1286,1.1228,0.10%
4/9/2019,1.1263,1.1272,1.1287,1.1255,0.02%
4/8/2019,1.1261,1.1218,1.1277,1.1213,0.40%
4/5/2019,1.1216,1.1223,1.1246,1.121,-0.04%
4/4/2019,1.1221,1.1233,1.1249,1.1205,-0.12%
4/3/2019,1.1235,1.1204,1.1256,1.12,0.28%
4/2/2019,1.1204,1.1217,1.122,1.1183,-0.08%
4/1/2019,1.1213,1.1217,1.125,1.1202,-0.04%
3/29/2019,1.1218,1.122,1.1248,1.1208,-0.04%
3/28/2019,1.1222,1.1244,1.1264,1.1214,-0.22%
3/27/2019,1.1247,1.1266,1.1286,1.124,-0.17%
3/26/2019,1.1266,1.1313,1.1329,1.1263,-0.42%
3/25/2019,1.1313,1.1294,1.1334,1.1284,-0.01%
3/22/2019,1.1314,1.1376,1.1393,1.1272,-0.54%
3/21/2019,1.1375,1.1413,1.144,1.1342,-0.34%
3/20/2019,1.1414,1.1352,1.145,1.1336,0.55%
3/19/2019,1.1352,1.1338,1.1364,1.1334,0.13%
3/18/2019,1.1337,1.1322,1.136,1.1316,0.11%
3/15/2019,1.1325,1.1304,1.1345,1.1295,0.19%
3/14/2019,1.1304,1.133,1.1343,1.1294,-0.20%
3/13/2019,1.1327,1.1288,1.1341,1.1277,0.35%
3/12/2019,1.1288,1.1249,1.1309,1.1244,0.35%
3/11/2019,1.1249,1.124,1.126,1.1222,0.08%
3/8/2019,1.124,1.1194,1.1248,1.1185,0.41%
3/7/2019,1.1194,1.1306,1.1322,1.1176,-1.00%
3/6/2019,1.1307,1.1313,1.1328,1.1286,-0.01%
3/5/2019,1.1308,1.1339,1.1353,1.129,-0.28%
3/4/2019,1.134,1.138,1.1398,1.1309,-0.33%
3/1/2019,1.1377,1.1372,1.141,1.1353,0.05%
